in s,C3 in V
-9.5304400E-05,3.61328E-02
-9.5295200E-05,1.66016E-02
-9.5286000E-05,2.63672E-02
-9.5276800E-05,4.58984E-02
-9.5267600E-05,4.58984E-02
-9.5258400E-05,6.83594E-03
-9.5249200E-05,-2.92969E-03
-9.5240000E-05,6.83594E-03
-9.5230800E-05,1.66016E-02
-9.5221600E-05,2.63672E-02
-9.5212400E-05,6.83594E-03
-9.5203200E-05,1.66016E-02
-9.5194000E-05,-2.24609E-02
-9.5184800E-05,6.83594E-03
-9.5175600E-05,1.66016E-02
-9.5166400E-05,1.66016E-02
-9.5157200E-05,4.58984E-02
-9.5148000E-05,6.83594E-03
-9.5138800E-05,1.66016E-02
-9.5129600E-05,3.61328E-02
-9.5120400E-05,1.66016E-02
-9.5111200E-05,-2.92969E-03
-9.5102000E-05,6.83594E-03
-9.5092800E-05,1.66016E-02
-9.5083600E-05,3.61328E-02
-9.5074400E-05,6.54297E-02
-9.5065200E-05,2.63672E-02
-9.5056000E-05,2.63672E-02
-9.5046800E-05,6.83594E-03
-9.5037600E-05,6.83594E-03
-9.5028400E-05,-2.92969E-03
-9.5019200E-05,6.83594E-03
-9.5010000E-05,3.61328E-02
-9.5000800E-05,4.58984E-02
-9.4991600E-05,2.63672E-02
-9.4982400E-05,3.61328E-02
-9.4973200E-05,2.63672E-02
-9.4964000E-05,3.61328E-02
-9.4954800E-05,3.61328E-02
-9.4945600E-05,6.83594E-03
-9.4936400E-05,2.63672E-02
-9.4927200E-05,9.47266E-02
-9.4918000E-05,6.83594E-03
-9.4908800E-05,1.66016E-02
-9.4899600E-05,4.58984E-02
-9.4890400E-05,6.83594E-03
-9.4881200E-05,1.66016E-02
-9.4872000E-05,3.61328E-02
-9.4862800E-05,6.83594E-03
-9.4853600E-05,3.61328E-02
-9.4844400E-05,3.61328E-02
-9.4835200E-05,1.66016E-02
-9.4826000E-05,-2.92969E-03
-9.4816800E-05,6.83594E-03
-9.4807600E-05,3.61328E-02
-9.4798400E-05,4.58984E-02
-9.4789200E-05,-2.92969E-03
-9.4780000E-05,1.66016E-02
-9.4770800E-05,6.83594E-03
-9.4761600E-05,1.66016E-02
-9.4752400E-05,6.83594E-03
-9.4743200E-05,3.61328E-02
-9.4734000E-05,1.66016E-02
-9.4724800E-05,2.63672E-02
-9.4715600E-05,4.58984E-02
-9.4706400E-05,3.61328E-02
-9.4697200E-05,-1.26953E-02
-9.4688000E-05,4.58984E-02
-9.4678800E-05,3.61328E-02
-9.4669600E-05,6.83594E-03
-9.4660400E-05,3.61328E-02
-9.4651200E-05,1.66016E-02
-9.4642000E-05,4.58984E-02
-9.4632800E-05,6.83594E-03
-9.4623600E-05,6.83594E-03
-9.4614400E-05,6.54297E-02
-9.4605200E-05,3.61328E-02
-9.4596000E-05,3.61328E-02
-9.4586800E-05,-2.24609E-02
-9.4577600E-05,3.61328E-02
-9.4568400E-05,-2.24609E-02
-9.4559200E-05,6.83594E-03
-9.4550000E-05,3.61328E-02
-9.4540800E-05,1.66016E-02
-9.4531600E-05,2.63672E-02
-9.4522400E-05,1.66016E-02
-9.4513200E-05,6.83594E-03
-9.4504000E-05,3.61328E-02
-9.4494800E-05,4.58984E-02
-9.4485600E-05,2.63672E-02
-9.4476400E-05,1.66016E-02
-9.4467200E-05,6.83594E-03
-9.4458000E-05,3.61328E-02
-9.4448800E-05,4.58984E-02
-9.4439600E-05,1.66016E-02
-9.4430400E-05,-1.26953E-02
-9.4421200E-05,2.63672E-02
-9.4412000E-05,-1.26953E-02
-9.4402800E-05,3.61328E-02
-9.4393600E-05,2.63672E-02
-9.4384400E-05,3.61328E-02
-9.4375200E-05,5.56641E-02
-9.4366000E-05,1.66016E-02
-9.4356800E-05,3.61328E-02
-9.4347600E-05,7.51953E-02
-9.4338400E-05,1.66016E-02
-9.4329200E-05,-2.92969E-03
-9.4320000E-05,3.61328E-02
-9.4310800E-05,2.63672E-02
-9.4301600E-05,-3.22266E-02
-9.4292400E-05,1.66016E-02
-9.4283200E-05,2.63672E-02
-9.4274000E-05,6.83594E-03
-9.4264800E-05,1.66016E-02
-9.4255600E-05,1.66016E-02
-9.4246400E-05,3.61328E-02
-9.4237200E-05,2.63672E-02
-9.4228000E-05,6.54297E-02
-9.4218800E-05,2.63672E-02
-9.4209600E-05,6.83594E-03
-9.4200400E-05,3.61328E-02
-9.4191200E-05,3.61328E-02
-9.4182000E-05,-1.26953E-02
-9.4172800E-05,3.61328E-02
-9.4163600E-05,-2.92969E-03
-9.4154400E-05,3.61328E-02
-9.4145200E-05,-2.92969E-03
-9.4136000E-05,2.63672E-02
-9.4126800E-05,-2.24609E-02
-9.4117600E-05,6.83594E-03
-9.4108400E-05,-2.92969E-03
-9.4099200E-05,1.66016E-02
-9.4090000E-05,-1.26953E-02
-9.4080800E-05,3.61328E-02
-9.4071600E-05,2.63672E-02
-9.4062400E-05,3.61328E-02
-9.4053200E-05,2.63672E-02
-9.4044000E-05,-2.92969E-03
-9.4034800E-05,-4.19922E-02
-9.4025600E-05,1.66016E-02
-9.4016400E-05,5.56641E-02
-9.4007200E-05,1.66016E-02
-9.3998000E-05,-3.22266E-02
-9.3988800E-05,-2.92969E-03
-9.3979600E-05,2.63672E-02
-9.3970400E-05,-2.24609E-02
-9.3961200E-05,2.63672E-02
-9.3952000E-05,5.56641E-02
-9.3942800E-05,6.83594E-03
-9.3933600E-05,4.58984E-02
-9.3924400E-05,-1.26953E-02
-9.3915200E-05,6.83594E-03
-9.3906000E-05,4.58984E-02
-9.3896800E-05,1.66016E-02
-9.3887600E-05,-2.92969E-03
-9.3878400E-05,2.63672E-02
-9.3869200E-05,-2.24609E-02
-9.3860000E-05,5.56641E-02
-9.3850800E-05,1.66016E-02
-9.3841600E-05,-2.92969E-03
-9.3832400E-05,6.83594E-03
-9.3823200E-05,-2.92969E-03
-9.3814000E-05,-1.26953E-02
-9.3804800E-05,2.63672E-02
-9.3795600E-05,3.61328E-02
-9.3786400E-05,2.63672E-02
-9.3777200E-05,1.66016E-02
-9.3768000E-05,5.56641E-02
-9.3758800E-05,6.54297E-02
-9.3749600E-05,-2.92969E-03
-9.3740400E-05,1.66016E-02
-9.3731200E-05,3.61328E-02
-9.3722000E-05,-1.26953E-02
-9.3712800E-05,1.66016E-02
-9.3703600E-05,-2.24609E-02
-9.3694400E-05,6.83594E-03
-9.3685200E-05,2.63672E-02
-9.3676000E-05,6.83594E-03
-9.3666800E-05,-2.92969E-03
-9.3657600E-05,4.58984E-02
-9.3648400E-05,-1.26953E-02
-9.3639200E-05,2.63672E-02
-9.3630000E-05,-1.26953E-02
-9.3620800E-05,3.61328E-02
-9.3611600E-05,3.61328E-02
-9.3602400E-05,-2.24609E-02
-9.3593200E-05,-1.26953E-02
-9.3584000E-05,1.66016E-02
-9.3574800E-05,2.63672E-02
-9.3565600E-05,3.61328E-02
-9.3556400E-05,2.63672E-02
-9.3547200E-05,-1.26953E-02
-9.3538000E-05,-5.17578E-02
-9.3528800E-05,2.63672E-02
-9.3519600E-05,3.61328E-02
-9.3510400E-05,1.66016E-02
-9.3501200E-05,-4.19922E-02
-9.3492000E-05,2.63672E-02
-9.3482800E-05,-3.22266E-02
-9.3473600E-05,1.66016E-02
-9.3464400E-05,3.61328E-02
-9.3455200E-05,-2.92969E-03
-9.3446000E-05,6.83594E-03
-9.3436800E-05,4.58984E-02
-9.3427600E-05,-2.92969E-03
-9.3418400E-05,-2.92969E-03
-9.3409200E-05,-5.17578E-02
-9.3400000E-05,1.66016E-02
-9.3390800E-05,6.83594E-03
-9.3381600E-05,3.61328E-02
-9.3372400E-05,-1.26953E-02
-9.3363200E-05,-2.24609E-02
-9.3354000E-05,1.66016E-02
-9.3344800E-05,6.83594E-03
-9.3335600E-05,-1.26953E-02
-9.3326400E-05,6.83594E-03
-9.3317200E-05,-4.19922E-02
-9.3308000E-05,-1.26953E-02
-9.3298800E-05,6.83594E-03
-9.3289600E-05,3.61328E-02
-9.3280400E-05,-2.92969E-03
-9.3271200E-05,-2.24609E-02
-9.3262000E-05,1.66016E-02
-9.3252800E-05,3.61328E-02
-9.3243600E-05,-1.26953E-02
-9.3234400E-05,-4.19922E-02
-9.3225200E-05,3.61328E-02
-9.3216000E-05,6.83594E-03
-9.3206800E-05,-2.92969E-03
-9.3197600E-05,3.61328E-02
-9.3188400E-05,9.47266E-02
-9.3179200E-05,6.83594E-03
-9.3170000E-05,-2.24609E-02
-9.3160800E-05,1.66016E-02
-9.3151600E-05,-2.24609E-02
-9.3142400E-05,-2.24609E-02
-9.3133200E-05,-2.92969E-03
-9.3124000E-05,-2.92969E-03
-9.3114800E-05,-1.26953E-02
-9.3105600E-05,2.63672E-02
-9.3096400E-05,5.56641E-02
-9.3087200E-05,4.58984E-02
-9.3078000E-05,1.66016E-02
-9.3068800E-05,2.63672E-02
-9.3059600E-05,3.61328E-02
-9.3050400E-05,2.63672E-02
-9.3041200E-05,-2.92969E-03
-9.3032000E-05,2.63672E-02
-9.3022800E-05,-3.22266E-02
-9.3013600E-05,2.63672E-02
-9.3004400E-05,4.58984E-02
-9.2995200E-05,4.58984E-02
-9.2986000E-05,6.83594E-03
-9.2976800E-05,-1.26953E-02
-9.2967600E-05,-1.26953E-02
-9.2958400E-05,1.66016E-02
-9.2949200E-05,2.63672E-02
